B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,POPGROUP,ucgid
4504,,641,,1400000US41017001601,Census Tract 16.01; Deschutes County; Oregon,001,Total population,001,1400000US41017001601
2012,,399,,1400000US41017001602,Census Tract 16.02; Deschutes County; Oregon,001,Total population,001,1400000US41017001602
5229,,589,,1400000US41017001701,Census Tract 17.01; Deschutes County; Oregon,001,Total population,001,1400000US41017001701
3741,,582,,1400000US41017001702,Census Tract 17.02; Deschutes County; Oregon,001,Total population,001,1400000US41017001702
4508,,702,,1400000US41017001801,Census Tract 18.01; Deschutes County; Oregon,001,Total population,001,1400000US41017001801
5231,,1279,,1400000US41017001802,Census Tract 18.02; Deschutes County; Oregon,001,Total population,001,1400000US41017001802
2003,,384,,1400000US41017001901,Census Tract 19.01; Deschutes County; Oregon,001,Total population,001,1400000US41017001901
5957,,643,,1400000US41017001903,Census Tract 19.03; Deschutes County; Oregon,001,Total population,001,1400000US41017001903
4420,,939,,1400000US41017001904,Census Tract 19.04; Deschutes County; Oregon,001,Total population,001,1400000US41017001904
1461,,565,,1400000US41017002001,Census Tract 20.01; Deschutes County; Oregon,001,Total population,001,1400000US41017002001
8600,,927,,1400000US41017002002,Census Tract 20.02; Deschutes County; Oregon,001,Total population,001,1400000US41017002002
4211,,562,,1400000US41017002101,Census Tract 21.01; Deschutes County; Oregon,001,Total population,001,1400000US41017002101
2008,,354,,1400000US41017002102,Census Tract 21.02; Deschutes County; Oregon,001,Total population,001,1400000US41017002102
6956,,1037,,1400000US41017002103,Census Tract 21.03; Deschutes County; Oregon,001,Total population,001,1400000US41017002103
2725,,362,,1400000US41019010000,Census Tract 100; Douglas County; Oregon,001,Total population,001,1400000US41019010000
3552,,376,,1400000US41019020000,Census Tract 200; Douglas County; Oregon,001,Total population,001,1400000US41019020000
3847,,395,,1400000US41019030000,Census Tract 300; Douglas County; Oregon,001,Total population,001,1400000US41019030000
2537,,328,,1400000US41019040000,Census Tract 400; Douglas County; Oregon,001,Total population,001,1400000US41019040000
5612,,576,,1400000US41019050001,Census Tract 500.01; Douglas County; Oregon,001,Total population,001,1400000US41019050001
3139,,524,,1400000US41019050003,Census Tract 500.03; Douglas County; Oregon,001,Total population,001,1400000US41019050003
3610,,414,,1400000US41019050004,Census Tract 500.04; Douglas County; Oregon,001,Total population,001,1400000US41019050004
4302,,683,,1400000US41019060000,Census Tract 600; Douglas County; Oregon,001,Total population,001,1400000US41019060000
5426,,785,,1400000US41019070000,Census Tract 700; Douglas County; Oregon,001,Total population,001,1400000US41019070000
2928,,334,,1400000US41019080001,Census Tract 800.01; Douglas County; Oregon,001,Total population,001,1400000US41019080001
5251,,750,,1400000US41019080002,Census Tract 800.02; Douglas County; Oregon,001,Total population,001,1400000US41019080002
5040,,573,,1400000US41019090001,Census Tract 900.01; Douglas County; Oregon,001,Total population,001,1400000US41019090001
3207,,535,,1400000US41019100000,Census Tract 1000; Douglas County; Oregon,001,Total population,001,1400000US41019100000
2907,,601,,1400000US41019110000,Census Tract 1100; Douglas County; Oregon,001,Total population,001,1400000US41019110000
2489,,481,,1400000US41019120001,Census Tract 1200.01; Douglas County; Oregon,001,Total population,001,1400000US41019120001
4572,,540,,1400000US41019120002,Census Tract 1200.02; Douglas County; Oregon,001,Total population,001,1400000US41019120002
2469,,508,,1400000US41019130001,Census Tract 1300.01; Douglas County; Oregon,001,Total population,001,1400000US41019130001
2964,,532,,1400000US41019130002,Census Tract 1300.02; Douglas County; Oregon,001,Total population,001,1400000US41019130002
5742,,645,,1400000US41019140000,Census Tract 1400; Douglas County; Oregon,001,Total population,001,1400000US41019140000
5196,,813,,1400000US41019150001,Census Tract 1500.01; Douglas County; Oregon,001,Total population,001,1400000US41019150001
2795,,354,,1400000US41019150002,Census Tract 1500.02; Douglas County; Oregon,001,Total population,001,1400000US41019150002
2584,,469,,1400000US41019160001,Census Tract 1600.01; Douglas County; Oregon,001,Total population,001,1400000US41019160001
4662,,594,,1400000US41019160002,Census Tract 1600.02; Douglas County; Oregon,001,Total population,001,1400000US41019160002
4030,,520,,1400000US41019170000,Census Tract 1700; Douglas County; Oregon,001,Total population,001,1400000US41019170000
4541,,374,,1400000US41019180000,Census Tract 1800; Douglas County; Oregon,001,Total population,001,1400000US41019180000
4544,,522,,1400000US41019190000,Census Tract 1900; Douglas County; Oregon,001,Total population,001,1400000US41019190000
5042,,485,,1400000US41019200000,Census Tract 2000; Douglas County; Oregon,001,Total population,001,1400000US41019200000
3938,,514,,1400000US41019210000,Census Tract 2100; Douglas County; Oregon,001,Total population,001,1400000US41019210000
1954,,-555555555,*****,1400000US41021960100,Census Tract 9601; Gilliam County; Oregon,001,Total population,001,1400000US41021960100
2070,,227,,1400000US41023960100,Census Tract 9601; Grant County; Oregon,001,Total population,001,1400000US41023960100
1675,,278,,1400000US41023960201,Census Tract 9602.01; Grant County; Oregon,001,Total population,001,1400000US41023960201
3480,,245,,1400000US41023960202,Census Tract 9602.02; Grant County; Oregon,001,Total population,001,1400000US41023960202
2665,,218,,1400000US41025960101,Census Tract 9601.01; Harney County; Oregon,001,Total population,001,1400000US41025960101
2782,,270,,1400000US41025960102,Census Tract 9601.02; Harney County; Oregon,001,Total population,001,1400000US41025960102
2007,,230,,1400000US41025960200,Census Tract 9602; Harney County; Oregon,001,Total population,001,1400000US41025960200
4645,,589,,1400000US41027950100,Census Tract 9501; Hood River County; Oregon,001,Total population,001,1400000US41027950100
3479,,443,,1400000US41027950201,Census Tract 9502.01; Hood River County; Oregon,001,Total population,001,1400000US41027950201
4027,,479,,1400000US41027950202,Census Tract 9502.02; Hood River County; Oregon,001,Total population,001,1400000US41027950202
